pna_frequency_axis,pna_power,pna_tr1_linear_magnitude,pna_tr1_magnitude,pna_tr1_phase,pna_tr1_unwrapped_phase
3648180000.0,-30.0,2.826272487640381,9.024280548095703,-73.64959716796875,-73.64959716796875
3648220000.0,-30.0,2.8245561122894287,9.019003868103027,-74.31656646728516,-74.31656646728516
3648260000.0,-30.0,2.820476531982422,9.006450653076172,-75.05683898925781,-75.05683898925781
3648300000.0,-30.0,2.8147470951080322,8.988787651062012,-75.57940673828125,-75.57940673828125
3648340000.0,-30.0,2.8155741691589355,8.991339683532715,-76.16757202148438,-76.16757202148438
3648380000.0,-30.0,2.8122308254241943,8.981019020080566,-76.85908508300781,-76.85908508300781
3648420000.0,-30.0,2.8173460960388184,8.996804237365723,-77.49527740478516,-77.49527740478516
3648460000.0,-30.0,2.8058359622955322,8.9612455368042,-78.06255340576172,-78.06255340576172
3648500000.0,-30.0,2.803131580352783,8.95287036895752,-78.54769897460938,-78.54769897460938
3648540000.0,-30.0,2.798112392425537,8.93730354309082,-79.26387023925781,-79.26387023925781
3648580000.0,-30.0,2.790349245071411,8.913171768188477,-79.95384979248047,-79.95384979248047
3648620000.0,-30.0,2.787555456161499,8.904470443725586,-80.40201568603516,-80.40201568603516
3648660000.0,-30.0,2.781937837600708,8.886948585510254,-81.08689880371094,-81.08689880371094
3648700000.0,-30.0,2.785735607147217,8.898797988891602,-81.63130950927734,-81.63130950927734
3648740000.0,-30.0,2.780247449874878,8.881669044494629,-82.417236328125,-82.417236328125
3648780000.0,-30.0,2.7792904376983643,8.878679275512695,-83.00248718261719,-83.00248718261719
3648820000.0,-30.0,2.778653860092163,8.876688957214355,-83.59600067138672,-83.59600067138672
3648860000.0,-30.0,2.7719035148620605,8.855562210083008,-84.25802612304688,-84.25802612304688
3648900000.0,-30.0,2.770261764526367,8.85041618347168,-84.70085144042969,-84.70085144042969
3648940000.0,-30.0,2.7665767669677734,8.838854789733887,-85.41154479980469,-85.41154479980469
3648980000.0,-30.0,2.7645797729492188,8.832582473754883,-86.11480712890625,-86.11480712890625
3649020000.0,-30.0,2.769519805908203,8.848089218139648,-86.79960632324219,-86.79960632324219
3649060000.0,-30.0,2.7604973316192627,8.819746971130371,-87.34239196777344,-87.34239196777344
3649100000.0,-30.0,2.7625763416290283,8.826286315917969,-88.060302734375,-88.060302734375
3649140000.0,-30.0,2.764723062515259,8.833032608032227,-88.633544921875,-88.633544921875
3649180000.0,-30.0,2.7613067626953125,8.822293281555176,-89.30347442626953,-89.30347442626953
